,index,expanded_url,tweet_id,url
2370,15,http://ga.co/2qplcny,864628577731346432,https://t.co/xqzj1KnZwZ
2371,16,http://ga.co/2q4ttwY,864628531552112640,https://t.co/VUfnjvimfr
2372,17,http://ga.co/2qen0hn,864623247303823361,https://t.co/RgXJAtcyE8
2373,18,https://twitter.com/i/web/status/864622721916862465,864622721916862465,https://t.co/WS2bEY0rue
2374,19,https://twitter.com/i/web/status/864611083679485952,864611083679485952,https://t.co/3ZTXjWjvuW
2375,20,http://ga.co/2qeiO1n,864598586444705794,https://t.co/yJvBKeNity
2376,21,http://ga.co/2p1VEwf,864592991922434048,https://t.co/cJEebHpsGt
2377,22,http://ga.co/2qeiMXb,864587263149256705,https://t.co/3uKWkqmitN
2378,23,http://ga.co/2qel74n,864584054242508800,https://t.co/FXfglGTQIY
2379,24,http://ga.co/2qenm7K,864582732252315648,https://t.co/s2h1ADRBfD
2380,25,http://ga.co/2qegur0,864574429006880773,https://t.co/uBlXxozk7W
2381,26,http://bit.ly/2pl8qI0,864569142577430528,https://t.co/T3wKfP4gcu
2382,27,https://twitter.com/i/web/status/864565994949419009,864565994949419009,https://t.co/pGQcEXm1na
2383,28,https://theindex.generalassemb.ly/forget-networking-build-a-community-b981bdae9bc,864564412237197313,https://t.co/vS4jnn3FZ7
2384,29,http://ga.co/2qkxLAo,864563603671719936,https://t.co/Dvh93jCw6v
2385,30,http://ga.co/2qBsaY5,864562633629945857,https://t.co/YdvviSUpBN
2386,31,http://ga.co/2qBjdxB,864562600927014912,https://t.co/18wUbi69KE
2387,32,http://ga.co/2qe17Py,864557855625678848,https://t.co/TsHjU30y1J
2388,33,http://ga.co/2qBoTro,864545986898735104,https://t.co/edbiSwK0za
2389,34,http://bit.ly/2q6WyGt,864544226125635584,https://t.co/J5Ga7sfdng
2390,35,http://ga.co/2qBjf8H,864543006958944260,https://t.co/PauDv9NCzS
2391,36,https://twitter.com/i/web/status/864538806304874496,864538806304874496,https://t.co/VHl3ueBc0q
2392,37,https://twitter.com/i/web/status/864538229042814976,864538229042814976,https://t.co/aWm7NoDCSu
2393,38,http://ga.co/talkdata2memay,864537308456005632,https://t.co/oAo34PqBLx
2394,39,http://ga.co/2qBpUjx,864532431608696833,https://t.co/cLlwUasHyS
2395,40,http://ga.co/2qek3NT,864530886796210176,https://t.co/UBSrruowju
2396,41,http://ga.co/2pku8vv,864528121843691520,https://t.co/vphTeDOu3L
2397,42,https://twitter.com/i/web/status/864526903214059522,864526903214059522,https://t.co/oaus4pebKc
2398,43,https://twitter.com/i/web/status/864526862608867328,864526862608867328,https://t.co/WHG3ef3IOk
